scenario_id,method,seeds,success,collision,clearance,path_length,completion_time,solve_time
aggressive_crossing_v1,Fixed CBF gamma=0.15,50,1.0,0.0,0.30866202688421457,5.466961848798771,4.368,1.32639953990305
aggressive_crossing_v1,Fixed CBF gamma=0.08,50,1.0,0.0,0.41645124937155303,5.7465241610238635,4.556,1.3242538091625706
aggressive_crossing_v1,Fixed CBF gamma=0.04,50,1.0,0.0,0.4826045336578682,5.803080876896661,4.6080000000000005,1.3239594780779047
aggressive_crossing_v1,Rule adaptive CBF,50,1.0,0.0,0.4752197262365883,5.815375799518966,4.606000000000001,1.3280813708852492
fast_crossing_v1,Fixed CBF gamma=0.15,50,1.0,0.0,0.2655237940224148,5.634134836857361,4.4780000000000015,1.316443669276347
fast_crossing_v1,Fixed CBF gamma=0.08,50,1.0,0.0,0.323747777290671,5.7585774240035725,4.596,1.3212416367278328
fast_crossing_v1,Fixed CBF gamma=0.04,50,1.0,0.0,0.35979791385751625,5.812354238494091,4.640000000000001,1.3180734400487695
fast_crossing_v1,Rule adaptive CBF,50,1.0,0.0,0.3532827741644821,5.809203463366291,4.628,1.3232154062893968
head_on_v1,Fixed CBF gamma=0.15,50,1.0,0.0,0.571305471439145,5.384958983391295,4.380000000000001,1.4626061811854836
head_on_v1,Fixed CBF gamma=0.08,50,1.0,0.0,0.9588337420656358,5.822212322104812,4.6080000000000005,1.4605626684372546
head_on_v1,Fixed CBF gamma=0.04,50,1.0,0.0,1.1246730015853306,5.933287546824111,4.7,1.4578950893514653
head_on_v1,Rule adaptive CBF,50,1.0,0.0,1.0197477529724497,5.873956343197542,4.66,1.4518847609603005
late_crossing_v1,Fixed CBF gamma=0.15,50,1.0,0.0,0.3654327322905093,5.190922144996884,4.2,1.1394732330063264
late_crossing_v1,Fixed CBF gamma=0.08,50,1.0,0.0,0.7387029912729097,5.801712124100802,4.6080000000000005,1.1466960892705846
late_crossing_v1,Fixed CBF gamma=0.04,50,1.0,0.0,0.9940389577812685,6.239114597132354,4.898000000000001,1.1466757852751315
late_crossing_v1,Rule adaptive CBF,50,1.0,0.0,0.7984413854240643,5.856625549973696,4.65,1.1524228130093932
noisy_prediction_v1,Fixed CBF gamma=0.15,50,1.0,0.0,0.43813347712388073,5.233691326316163,4.324,1.4922262585908985
noisy_prediction_v1,Fixed CBF gamma=0.08,50,1.0,0.0,0.7416916866613316,5.6196334524490545,4.678,1.4881294052871303
noisy_prediction_v1,Fixed CBF gamma=0.04,50,1.0,0.0,0.9607649548159387,5.865649008276071,4.934000000000001,1.4908110418382108
noisy_prediction_v1,Rule adaptive CBF,50,1.0,0.0,0.7872820450354387,5.657519297124139,4.728000000000001,1.4778110483126803
point_mass_2d_dynamic_obstacle_v1,Fixed CBF gamma=0.15,50,0.88,0.0,0.4906188784396639,5.599843612550642,5.722,1.8378136425296463
point_mass_2d_dynamic_obstacle_v1,Fixed CBF gamma=0.08,50,0.86,0.0,0.8225212080477451,5.970243826709114,6.054000000000001,1.8415039913153308
point_mass_2d_dynamic_obstacle_v1,Fixed CBF gamma=0.04,50,0.86,0.0,1.0330461494603318,6.393556220636756,6.6560000000000015,1.8283460771716518
point_mass_2d_dynamic_obstacle_v1,Rule adaptive CBF,50,0.8,0.0,0.8525451039162492,6.140242274372777,6.661999999999999,1.835933582241359
